key,Date,Hour,power,temperature
20170101:0,2017-01-01,0,5665,0.5
20170101:1,2017-01-01,1,5665,0.3
20170101:2,2017-01-01,2,5665,0.0
20170101:3,2017-01-01,3,5665,-0.1
20170101:4,2017-01-01,4,5665,-0.1
20170101:5,2017-01-01,5,5665,-0.1
20170101:6,2017-01-01,6,5665,-0.4
20170101:7,2017-01-01,7,5665,-1.6
20170101:8,2017-01-01,8,5665,-1.9
20170101:9,2017-01-01,9,5665,-1.8
20170101:10,2017-01-01,10,5665,-1.1
20170101:11,2017-01-01,11,5665,0.1
20170101:12,2017-01-01,12,5665,0.8
20170101:13,2017-01-01,13,5665,1.2
20170101:14,2017-01-01,14,5665,1.2
20170101:15,2017-01-01,15,5665,1.7
20170101:16,2017-01-01,16,5665,1.2
20170101:17,2017-01-01,17,5665,0.6
20170101:18,2017-01-01,18,5665,0.7
20170101:19,2017-01-01,19,5665,0.1
20170101:20,2017-01-01,20,5665,-0.2
20170101:21,2017-01-01,21,5665,-1.0
20170101:22,2017-01-01,22,5665,-0.6
20170101:23,2017-01-01,23,5665,-0.7
20170102:0,2017-01-02,0,5774,-1.2
20170102:1,2017-01-02,1,5777,-2.4
20170102:2,2017-01-02,2,5781,-2.3
20170102:3,2017-01-02,3,5784,-1.9
20170102:4,2017-01-02,4,5787,-2.1
20170102:5,2017-01-02,5,5791,-3.0
20170102:6,2017-01-02,6,5794,-2.7
20170102:7,2017-01-02,7,5797,-2.6
20170102:8,2017-01-02,8,5801,-3.7
20170102:9,2017-01-02,9,5804,-2.0
20170102:10,2017-01-02,10,5807,1.3
20170102:11,2017-01-02,11,5811,3.0
20170102:12,2017-01-02,12,5814,3.9
20170102:13,2017-01-02,13,5817,4.7
20170102:14,2017-01-02,14,5821,4.2
20170102:15,2017-01-02,15,5824,4.0
20170102:16,2017-01-02,16,5827,3.3
20170102:17,2017-01-02,17,5830,3.2
20170102:18,2017-01-02,18,5834,3.3
20170102:19,2017-01-02,19,5837,3.3
20170102:20,2017-01-02,20,5840,3.5
20170102:21,2017-01-02,21,5844,3.6
20170102:22,2017-01-02,22,5847,3.5
20170102:23,2017-01-02,23,5850,3.3
20170103:0,2017-01-03,0,5854,3.3
20170103:1,2017-01-03,1,5857,3.2
20170103:2,2017-01-03,2,5860,3.2
20170103:3,2017-01-03,3,5864,3.0
20170103:4,2017-01-03,4,5867,3.3
20170103:5,2017-01-03,5,5870,3.4
20170103:6,2017-01-03,6,5874,3.7
20170103:7,2017-01-03,7,5877,3.8
20170103:8,2017-01-03,8,5880,4.0
20170103:9,2017-01-03,9,5884,4.1
20170103:10,2017-01-03,10,5887,4.3
20170103:11,2017-01-03,11,5890,4.4
20170103:12,2017-01-03,12,5894,4.3
20170103:13,2017-01-03,13,5897,4.3
20170103:14,2017-01-03,14,5900,4.2
20170103:15,2017-01-03,15,5903,4.1
20170103:16,2017-01-03,16,5907,4.0
20170103:17,2017-01-03,17,5910,3.9
20170103:18,2017-01-03,18,5913,3.6
20170103:19,2017-01-03,19,5917,3.2
20170103:20,2017-01-03,20,5920,3.0
20170103:21,2017-01-03,21,5923,2.2
20170103:22,2017-01-03,22,5829,2.0
20170103:23,2017-01-03,23,5406,1.8
20170104:0,2017-01-04,0,5051,1.8
20170104:1,2017-01-04,1,4828,1.9
20170104:2,2017-01-04,2,4696,2.3
20170104:3,2017-01-04,3,4634,2.8
20170104:4,2017-01-04,4,4665,3.5
20170104:5,2017-01-04,5,4889,2.9
20170104:6,2017-01-04,6,5284,2.2
20170104:7,2017-01-04,7,5795,2.5
20170104:8,2017-01-04,8,6057,2.3
20170104:9,2017-01-04,9,6195,1.3
20170104:10,2017-01-04,10,6406,0.7
20170104:11,2017-01-04,11,6575,-0.9
20170104:12,2017-01-04,12,6684,-2.6
20170104:13,2017-01-04,13,6691,-3.6
20170104:14,2017-01-04,14,6684,-4.6
20170104:15,2017-01-04,15,6676,-5.1
20170104:16,2017-01-04,16,6832,-5.7
20170104:17,2017-01-04,17,7230,-6.4
20170104:18,2017-01-04,18,7224,-6.7
20170104:19,2017-01-04,19,7097,-7.7
20170104:20,2017-01-04,20,6968,-8.0
20170104:21,2017-01-04,21,6714,-8.2
20170104:22,2017-01-04,22,6341,-8.3
20170104:23,2017-01-04,23,5906,-8.5
20170105:0,2017-01-05,0,5579,-8.5
20170105:1,2017-01-05,1,5333,-8.3
20170105:2,2017-01-05,2,5202,-7.4
20170105:3,2017-01-05,3,5146,-7.2
20170105:4,2017-01-05,4,5168,-7.1
20170105:5,2017-01-05,5,5386,-7.4
20170105:6,2017-01-05,6,5835,-7.3
20170105:7,2017-01-05,7,6349,-8.0
20170105:8,2017-01-05,8,6557,-8.1
20170105:9,2017-01-05,9,6709,-8.1
20170105:10,2017-01-05,10,6790,-7.9
20170105:11,2017-01-05,11,6875,-8.1
20170105:12,2017-01-05,12,6851,-7.4
20170105:13,2017-01-05,13,6881,-6.6
20170105:14,2017-01-05,14,6903,-6.7
20170105:15,2017-01-05,15,6905,-7.2
20170105:16,2017-01-05,16,7039,-7.5
20170105:17,2017-01-05,17,7361,-8.2
20170105:18,2017-01-05,18,7358,-8.6
20170105:19,2017-01-05,19,7253,-9.0
20170105:20,2017-01-05,20,7114,-9.4
20170105:21,2017-01-05,21,6862,-10.1
20170105:22,2017-01-05,22,6463,-10.6
20170105:23,2017-01-05,23,6035,-11.3
20170106:0,2017-01-06,0,5668,-11.6
20170106:1,2017-01-06,1,5435,-11.9
20170106:2,2017-01-06,2,5349,-12.1
20170106:3,2017-01-06,3,5315,-12.3
20170106:4,2017-01-06,4,5331,-12.6
20170106:5,2017-01-06,5,5560,-12.7
20170106:6,2017-01-06,6,5981,-13.0
20170106:7,2017-01-06,7,6470,-13.3
20170106:8,2017-01-06,8,6673,-13.4
20170106:9,2017-01-06,9,6766,-12.5
20170106:10,2017-01-06,10,6814,-10.8
20170106:11,2017-01-06,11,6850,-8.9
20170106:12,2017-01-06,12,6810,-7.9
20170106:13,2017-01-06,13,6803,-8.0
20170106:14,2017-01-06,14,6743,-7.6
20170106:15,2017-01-06,15,6739,-7.6
20170106:16,2017-01-06,16,6864,-8.6
20170106:17,2017-01-06,17,7259,-9.9
20170106:18,2017-01-06,18,7267,-10.6
20170106:19,2017-01-06,19,7161,-10.7
20170106:20,2017-01-06,20,7016,-11.2
20170106:21,2017-01-06,21,6769,-11.5
20170106:22,2017-01-06,22,6423,-11.7
20170106:23,2017-01-06,23,5976,-11.9
20170107:0,2017-01-07,0,5665,-12.6
20170107:1,2017-01-07,1,5441,-12.7
20170107:2,2017-01-07,2,5288,-13.1
20170107:3,2017-01-07,3,5210,-13.0
20170107:4,2017-01-07,4,5171,-13.4
20170107:5,2017-01-07,5,5253,-13.6
20170107:6,2017-01-07,6,5428,-13.6
20170107:7,2017-01-07,7,5655,-13.9
20170107:8,2017-01-07,8,5852,-13.9
20170107:9,2017-01-07,9,6040,-12.5
20170107:10,2017-01-07,10,6165,-10.1
20170107:11,2017-01-07,11,6278,-9.3
20170107:12,2017-01-07,12,6344,-7.9
20170107:13,2017-01-07,13,6348,-7.8
20170107:14,2017-01-07,14,6343,-8.0
20170107:15,2017-01-07,15,6354,-8.6
20170107:16,2017-01-07,16,6496,-9.2
20170107:17,2017-01-07,17,6855,-10.5
20170107:18,2017-01-07,18,6859,-10.5
20170107:19,2017-01-07,19,6709,-11.3
20170107:20,2017-01-07,20,6570,-11.5
20170107:21,2017-01-07,21,6370,-11.7
20170107:22,2017-01-07,22,6095,-11.8
20170107:23,2017-01-07,23,5767,-11.9
20170108:0,2017-01-08,0,5493,-12.1
20170108:1,2017-01-08,1,5269,-11.7
20170108:2,2017-01-08,2,5127,-10.8
20170108:3,2017-01-08,3,5054,-9.7
20170108:4,2017-01-08,4,5027,-9.3
20170108:5,2017-01-08,5,5068,-10.2
20170108:6,2017-01-08,6,5199,-10.4
20170108:7,2017-01-08,7,5391,-11.1
20170108:8,2017-01-08,8,5556,-11.3
20170108:9,2017-01-08,9,5754,-11.2
20170108:10,2017-01-08,10,5893,-10.5
20170108:11,2017-01-08,11,6005,-10.1
20170108:12,2017-01-08,12,6089,-10.1
20170108:13,2017-01-08,13,6113,-9.8
20170108:14,2017-01-08,14,6127,-10.2
20170108:15,2017-01-08,15,6211,-9.3
20170108:16,2017-01-08,16,6468,-10.0
20170108:17,2017-01-08,17,6967,-10.7
20170108:18,2017-01-08,18,7039,-11.4
20170108:19,2017-01-08,19,6925,-12.1
20170108:20,2017-01-08,20,6761,-12.6
20170108:21,2017-01-08,21,6536,-13.1
20170108:22,2017-01-08,22,6225,-11.7
20170108:23,2017-01-08,23,5834,-10.3
20170109:0,2017-01-09,0,5526,-10.0
20170109:1,2017-01-09,1,5353,-9.5
20170109:2,2017-01-09,2,5257,-9.1
20170109:3,2017-01-09,3,5196,-9.0
20170109:4,2017-01-09,4,5247,-9.0
20170109:5,2017-01-09,5,5494,-8.6
20170109:6,2017-01-09,6,6012,-8.4
20170109:7,2017-01-09,7,6712,-7.9
20170109:8,2017-01-09,8,6879,-7.2
20170109:9,2017-01-09,9,6993,-6.8
20170109:10,2017-01-09,10,7104,-6.4
20170109:11,2017-01-09,11,7124,-5.8
20170109:12,2017-01-09,12,7055,-4.1
20170109:13,2017-01-09,13,7047,-4.0
20170109:14,2017-01-09,14,6974,-3.4
20170109:15,2017-01-09,15,6995,-3.3
20170109:16,2017-01-09,16,7132,-3.3
20170109:17,2017-01-09,17,7450,-3.7
20170109:18,2017-01-09,18,7398,-4.0
20170109:19,2017-01-09,19,7269,-4.2
20170109:20,2017-01-09,20,7046,-4.1
20170109:21,2017-01-09,21,6760,-3.7
20170109:22,2017-01-09,22,6302,-3.5
20170109:23,2017-01-09,23,5849,-3.7
20170110:0,2017-01-10,0,5470,-3.1
20170110:1,2017-01-10,1,5252,-3.0
20170110:2,2017-01-10,2,5111,-2.8
20170110:3,2017-01-10,3,5050,-2.2
20170110:4,2017-01-10,4,5104,-2.5
20170110:5,2017-01-10,5,5373,-2.3
20170110:6,2017-01-10,6,5890,-2.6
20170110:7,2017-01-10,7,6560,-2.1
20170110:8,2017-01-10,8,6723,-1.9
20170110:9,2017-01-10,9,6850,-1.5
20170110:10,2017-01-10,10,6940,-1.6
20170110:11,2017-01-10,11,7017,-0.5
20170110:12,2017-01-10,12,7004,0.0
20170110:13,2017-01-10,13,7011,-0.1
20170110:14,2017-01-10,14,6975,0.1
20170110:15,2017-01-10,15,6970,0.3
20170110:16,2017-01-10,16,7128,1.0
20170110:17,2017-01-10,17,7384,1.4
20170110:18,2017-01-10,18,7302,2.3
20170110:19,2017-01-10,19,7120,3.4
20170110:20,2017-01-10,20,6895,4.3
20170110:21,2017-01-10,21,6553,5.2
20170110:22,2017-01-10,22,6087,7.0
20170110:23,2017-01-10,23,5616,7.1
20170111:0,2017-01-11,0,5216,7.8
20170111:1,2017-01-11,1,5006,7.1
20170111:2,2017-01-11,2,4919,4.0
20170111:3,2017-01-11,3,4870,3.8
