iter	Logloss
0	0.6880851606
1	0.6835880323
2	0.6792638549
3	0.675404641
4	0.6722426914
5	0.6685943316
6	0.6649669484
7	0.6612964509
8	0.6571983925
9	0.653242594
10	0.6493089743
11	0.6465228344
12	0.6425640545
13	0.638940706
14	0.635717765
15	0.6318814234
16	0.6291057881
17	0.6251683825
18	0.621786825
19	0.617900624
20	0.6144002478
21	0.6109668062
22	0.6080861089
23	0.6050652103
24	0.6023118028
25	0.5996609541
26	0.5968271378
27	0.5936876787
28	0.5904235903
29	0.5881405419
30	0.5855618713
31	0.5826132168
32	0.5810877392
33	0.57782785
34	0.5751320982
35	0.5720047459
36	0.5698384335
37	0.5664091187
38	0.5635014911
39	0.5608157971
40	0.5585070408
41	0.5555393205
42	0.5530877907
43	0.5501548425
44	0.5478762292
45	0.5468996462
46	0.5445644067
47	0.5418529119
48	0.5394843139
49	0.5372624403
50	0.5346205252
51	0.5331772577
52	0.530211726
53	0.527896769
54	0.5251517557
55	0.5230952141
56	0.5204970615
57	0.5180715507
58	0.5153294956
59	0.5127617812
60	0.5103426533
61	0.5078050646
62	0.5056609779
63	0.5034799983
64	0.5026444154
65	0.5012105376
66	0.4985746387
67	0.4962360049
68	0.4939933806
69	0.4918654277
70	0.4897477764
71	0.4876740134
72	0.4859184758
73	0.4835589947
74	0.4820228489
75	0.4800454826
76	0.4780194997
77	0.4760782345
78	0.4738349576
79	0.4721168379
80	0.4708322737
81	0.4691242464
82	0.4676448151
83	0.4652982984
84	0.4637447145
85	0.4618584542
86	0.4594767126
87	0.4574602849
88	0.4554900058
89	0.4538805251
90	0.4528810206
91	0.4511716757
92	0.4492162121
93	0.447305413
94	0.4460868117
95	0.4441932099
96	0.4428709066
97	0.4411534941
98	0.4396635867
99	0.4380228325
100	0.4363923023
101	0.4344861145
102	0.4329095488
103	0.4311256373
104	0.4298003681
105	0.428425561
106	0.4266199978
107	0.4251522943
108	0.4235163987
109	0.4217327677
110	0.4202193237
111	0.4186689065
112	0.4172102072
113	0.4154272543
114	0.4135503178
115	0.4121892595
116	0.4109219997
117	0.4094696861
118	0.4082352891
119	0.4066964273
120	0.4058011925
121	0.4041591939
122	0.4027523289
123	0.4017473029
124	0.400569315
125	0.399566295
126	0.3981858659
127	0.3971028101
128	0.3954995931
129	0.394094516
130	0.3926254913
131	0.3911128689
132	0.3900850684
133	0.3888856233
134	0.3877219732
135	0.3864810738
136	0.3848684391
137	0.3837838862
138	0.3822170689
139	0.3804492568
140	0.3793719813
141	0.3785056937
142	0.3775685028
143	0.37607139
144	0.375653315
145	0.3742974109
146	0.3735558517
147	0.3725972179
148	0.3713894526
149	0.3702304714
150	0.3694139694
151	0.3684005642
152	0.3671518069
153	0.36625451
154	0.3653375132
155	0.3641953653
156	0.3632617919
157	0.3624726671
158	0.3613874294
159	0.3601086349
160	0.3591750859
161	0.3586063982
162	0.3574094133
163	0.3566631235
164	0.3554489906
165	0.3546990904
166	0.3534590697
167	0.352419218
168	0.3514102621
169	0.3504498547
170	0.3496196288
171	0.3489794419
172	0.3480079676
173	0.3468321716
174	0.3457921246
175	0.3449293852
176	0.3440477502
177	0.3429029465
178	0.3417620922
179	0.3408929169
180	0.3400179689
181	0.3389294774
182	0.3379549175
183	0.3371307787
184	0.3360284578
185	0.3349811661
186	0.3340606092
187	0.3331866227
188	0.3321363136
189	0.3312024648
190	0.3301766281
191	0.3295750262
192	0.3286419357
193	0.3277432183
194	0.3272239054
195	0.3263434214
196	0.3254428347
197	0.3244079295
198	0.3235438467
199	0.3229133272
200	0.3223863229
201	0.3217338284
202	0.3208642903
203	0.3200311005
204	0.319641416
205	0.3189351804
206	0.3180433403
207	0.3171385556
208	0.3165621517
209	0.315683711
210	0.3147566128
211	0.3139989851
212	0.3132166723
213	0.3125350857
214	0.3120958025
215	0.3113959089
216	0.310460179
217	0.3101119441
218	0.3095502548
219	0.3088135449
220	0.3081707726
221	0.307384499
222	0.3064032068
223	0.3057724487
224	0.3050804778
225	0.3042455051
226	0.3037203826
227	0.3028703976
228	0.3025524902
229	0.3019251828
230	0.3009309603
231	0.3003174805
232	0.2997966736
233	0.2990769046
234	0.2986015018
235	0.2976691934
236	0.2969248221
237	0.2961220988
238	0.2952770365
239	0.2948396249
240	0.293989611
241	0.2935453134
242	0.2925973051
243	0.2920077647
244	0.2910726741
245	0.2903833642
246	0.2897403093
247	0.2892899255
248	0.288530669
249	0.287732579
250	0.2870644326
251	0.2863764837
252	0.2856157999
253	0.2848302632
254	0.2843491247
255	0.283713478
256	0.282976551
257	0.282510646
258	0.2819487406
259	0.2813945823
260	0.2808068515
261	0.280155161
262	0.2798690193
263	0.279359322
264	0.2789349717
265	0.2781994779
266	0.2776792744
267	0.2770046059
268	0.2765742914
269	0.2760562127
270	0.2756214345
271	0.2750941731
272	0.2744748901
273	0.2738585054
274	0.2731185245
275	0.2725156006
276	0.2718776647
277	0.2710140208
278	0.2701911208
279	0.2697906855
280	0.2690557271
281	0.268467162
282	0.2678066536
283	0.2674285927
284	0.2669903385
285	0.266472601
286	0.2658492286
287	0.2653719339
288	0.2646681856
289	0.2641076371
290	0.2633783445
291	0.2627529121
292	0.2621463142
293	0.2616863205
294	0.2609076114
295	0.2604392845
296	0.2599651598
297	0.25943435
298	0.2589851394
299	0.2584600519
300	0.2577559234
301	0.257222574
302	0.2567085238
303	0.2561987539
304	0.2558517493
305	0.2552655454
306	0.2547207613
307	0.2541974544
308	0.2537659269
309	0.2531589498
310	0.2528011993
311	0.2522089541
312	0.251798096
313	0.2512524309
314	0.2508848136
315	0.2503235373
316	0.2497183288
317	0.2492574528
318	0.2488046931
319	0.2483089249
320	0.2477989282
321	0.2472413009
322	0.2468811873
323	0.2463716121
324	0.2462460758
325	0.2456645237
326	0.24499957
327	0.2443936485
328	0.2438365678
329	0.2433280804
330	0.2432171817
331	0.2428720472
332	0.2424634852
333	0.2419467576
334	0.2414158637
335	0.241151218
336	0.2404767086
337	0.2399899589
338	0.2394207619
339	0.2389915533
340	0.2388460522
341	0.2383135673
342	0.2379420687
343	0.2373311252
344	0.2370931457
345	0.2365726789
346	0.2362434628
347	0.2361760128
348	0.2357713399
349	0.2351302522
350	0.2345727304
351	0.2341599444
352	0.2337200297
353	0.2332457153
354	0.2328629958
355	0.2323008458
356	0.2316640224
357	0.2312059326
358	0.2305896359
359	0.2302242828
360	0.2299201416
361	0.2295058745
362	0.2293428872
363	0.2286816703
364	0.228409273
365	0.2280467617
366	0.2277972519
367	0.2272978076
368	0.2268164359
369	0.2263674337
370	0.2256423426
371	0.2253804339
372	0.2248673311
373	0.2244501404
374	0.2242127549
375	0.2238139414
376	0.2233113992
377	0.2227873261
378	0.2223050508
379	0.2219572817
380	0.2217605613
381	0.2214719883
382	0.2213547249
383	0.2208961892
384	0.2205959748
385	0.2202254051
386	0.2198622171
387	0.2194279336
388	0.2189927166
389	0.2184592691
390	0.2180163229
391	0.2173634671
392	0.2169904322
393	0.2165906482
394	0.2161768844
395	0.2157232327
396	0.2155373631
397	0.2151615073
398	0.2146821206
399	0.2143271214
400	0.2138965102
401	0.2135866138
402	0.2131661038
403	0.2127712509
404	0.2123692586
405	0.212128597
406	0.2117587488
407	0.211401077
408	0.2109699186
409	0.2108213402
410	0.2104238055
411	0.2101086306
412	0.2096728358
413	0.2093235549
414	0.2090409954
415	0.208607834
416	0.2081030414
417	0.2079584718
418	0.2077005209
419	0.2072796779
420	0.2069792961
421	0.2066624605
422	0.206226814
423	0.205882038
424	0.2056723667
425	0.2053802657
426	0.2051385715
427	0.2049631083
428	0.2046371019
429	0.2042944235
430	0.204000458
431	0.2036517765
432	0.2032688656
433	0.2029198026
434	0.2024856244
435	0.2022458972
436	0.2018592576
437	0.2016443117
438	0.2013316609
439	0.2009990358
440	0.2005618035
441	0.2003065621
442	0.2000592065
443	0.1997915612
444	0.1995703145
445	0.1992917724
446	0.1988984878
447	0.198676062
448	0.1983943241
449	0.1982388046
450	0.1978804297
451	0.1978052956
452	0.1975909567
453	0.1971704577
454	0.1969168669
455	0.1967407302
456	0.1964684092
457	0.1962209037
458	0.1958315008
459	0.1955620439
460	0.1954107289
461	0.1950893565
462	0.1947118843
463	0.1942923796
464	0.1940324202
465	0.1938579692
466	0.1934225768
467	0.1932347971
468	0.1929734194
469	0.1926176319
470	0.1923815351
471	0.1921347197
472	0.1918172472
473	0.191495719
474	0.1913814276
475	0.1909913739
476	0.1907459654
477	0.1904293213
478	0.1900318543
479	0.1896928898
480	0.1893854561
481	0.1891169752
482	0.1887335865
483	0.1884410089
484	0.1883496988
485	0.1881771235
486	0.1878692118
487	0.1875183023
488	0.1874685289
489	0.1872317627
490	0.1869269766
491	0.1867772402
492	0.1864865957
493	0.1861538503
494	0.1857969265
495	0.1855794308
496	0.1852682649
497	0.1850032742
498	0.1846541934
499	0.1843911975
500	0.1840533433
501	0.183676421
502	0.1833651401
503	0.1830924279
504	0.1827696786
505	0.1824176643
506	0.1821759454
507	0.182085225
508	0.1819661042
509	0.1816312403
510	0.1813296955
511	0.1811197849
512	0.1807447527
513	0.1805654251
514	0.1804039073
515	0.1802375501
516	0.1800098247
517	0.1798244862
518	0.1794332761
519	0.1790719499
520	0.1788147083
521	0.1784834493
522	0.178321697
523	0.178121894
524	0.1779848503
525	0.1777542575
526	0.1774426176
527	0.177153258
528	0.1767023876
529	0.1764805295
530	0.1763030432
531	0.1759249636
532	0.1757114241
533	0.175390878
534	0.1751653414
535	0.1749464645
536	0.1747183698
537	0.1745118867
538	0.1743938109
539	0.1742076951
540	0.1738380114
541	0.1735057585
542	0.1732059075
543	0.1729897546
544	0.1728251309
545	0.1725585467
546	0.1722169528
547	0.1718166848
548	0.1715760044
549	0.1712827295
550	0.1709220468
551	0.1707857051
552	0.1704802055
553	0.1701070559
554	0.1697968186
555	0.1695884961
556	0.1692559191
557	0.1689841237
558	0.1687389465
559	0.1684982522
560	0.1683317085
561	0.1680410888
562	0.1677242846
563	0.1674585164
564	0.1671873018
565	0.1669831672
566	0.1668585625
567	0.1666770688
568	0.1662679797
569	0.1660914108
570	0.1658514584
571	0.1655554163
572	0.1653832025
573	0.1651364531
574	0.1649477866
575	0.1646380667
576	0.16441566
577	0.1642444109
578	0.1638748243
579	0.163765059
580	0.1635949698
581	0.1633834507
582	0.1630111954
583	0.162656078
584	0.1623403928
585	0.1621493276
586	0.1620206252
587	0.1617706323
588	0.1616516135
589	0.1613619927
590	0.1611308351
591	0.1608251158
592	0.1605576467
593	0.1603197468
594	0.1602682401
595	0.1600966951
596	0.1598222554
597	0.1596479505
598	0.159342917
599	0.1591394697
600	0.1588867058
601	0.1586993758
602	0.1584611852
603	0.158249149
604	0.1580865343
605	0.1578997991
606	0.157780258
607	0.157562337
608	0.1573260537
609	0.1569962677
610	0.1566810528
611	0.1562992801
612	0.1559726811
613	0.1556909158
614	0.1554619089
615	0.1552615482
616	0.1549413831
617	0.1548542608
618	0.1546188375
619	0.1544168438
620	0.154125346
621	0.154026442
622	0.1537359225
623	0.1534988272
624	0.1532869889
625	0.1531069921
626	0.1528835936
627	0.1527608224
628	0.1526336768
629	0.1524481187
630	0.152384483
631	0.1521433137
632	0.1521024873
633	0.151941572
634	0.1517327188
635	0.1515459302
636	0.1513500954
637	0.1510774472
638	0.1508929035
639	0.1506681018
640	0.1505390212
641	0.1502996625
642	0.1501047888
643	0.1499548032
644	0.1496877034
645	0.149584435
646	0.1492833944
647	0.1490782241
648	0.1489035149
649	0.1488016641
650	0.1485590105
651	0.1484972282
652	0.1482027612
653	0.14795798
654	0.1477483105
655	0.1475059645
656	0.1472613968
657	0.1470780025
658	0.1468498
659	0.1465758282
660	0.1463534294
661	0.1461799461
662	0.1459588829
663	0.1457109457
664	0.1453925746
665	0.1452650412
666	0.1451640538
667	0.1450188194
668	0.1449719216
669	0.1446921924
670	0.1444759888
671	0.1443197309
672	0.1441632789
673	0.1438905532
674	0.1437891725
675	0.1436037323
676	0.1433818654
677	0.1433026877
678	0.1430991774
679	0.1429202612
680	0.1427453621
681	0.1425626038
682	0.1424548949
683	0.1422931368
684	0.1422282961
685	0.1421766745
686	0.1420142884
687	0.1418992315
688	0.1415923176
689	0.1413296891
690	0.1410664019
691	0.140990115
692	0.1408038038
693	0.1405226991
694	0.140271817
695	0.1400109044
696	0.1399096134
697	0.1397185645
698	0.1396036597
699	0.1394311377
700	0.1392899583
701	0.1390876159
702	0.1388664528
703	0.138650629
704	0.1384515959
705	0.1383285615
706	0.1381645018
707	0.1379897343
708	0.1377574381
709	0.1376043275
710	0.1374527661
711	0.1374309524
712	0.1372882069
713	0.1372041395
714	0.1370400252
715	0.1368810387
716	0.1367851969
717	0.1366232096
718	0.1365462336
719	0.136356795
720	0.1361915429
721	0.1360984091
722	0.1358401699
723	0.1357130636
724	0.1355302638
725	0.135433927
726	0.1352737654
727	0.1351252564
728	0.1348606268
729	0.134686828
730	0.1345424541
731	0.1343508943
732	0.1342214392
733	0.1340738332
734	0.133992463
735	0.1338474382
736	0.1335663872
737	0.1333044583
738	0.1331430508
739	0.1330205688
740	0.1328332833
741	0.1326454463
742	0.1324653807
743	0.1322468891
744	0.1320797488
745	0.1320393199
746	0.1318038551
747	0.1316654839
748	0.1314747349
749	0.1313678106
750	0.1311446226
751	0.1309299567
752	0.1307354794
753	0.1306060878
754	0.1304959206
755	0.1303884366
756	0.130234918
757	0.1299354846
758	0.1297982627
759	0.1296335717
760	0.1293913077
761	0.1292582803
762	0.1290987082
763	0.1289501712
764	0.1287665705
765	0.1285948415
766	0.1284278256
767	0.1281797622
768	0.127990126
769	0.1279813764
770	0.1278129779
771	0.1277002324
772	0.1276836807
773	0.127510528
774	0.1273963519
775	0.1272247643
776	0.127164142
777	0.1270870517
778	0.1269388758
779	0.126809063
780	0.1267103061
781	0.1266306878
782	0.1265404728
783	0.1263677478
784	0.1262228931
785	0.1261427452
786	0.125905703
787	0.1258523501
788	0.1257585736
789	0.1255471135
790	0.125305268
791	0.1251780053
792	0.1250652585
793	0.1249078604
794	0.1247556375
795	0.1245402061
796	0.1244077578
797	0.1242892441
798	0.1240816676
799	0.1238746754
800	0.1236429921
801	0.1235039369
802	0.1233634943
803	0.1231926686
804	0.1230308198
805	0.1228642968
806	0.1227009647
807	0.1225542297
808	0.1223576671
809	0.1222511124
810	0.122079883
811	0.1219231462
812	0.1217743926
813	0.1215165847
814	0.1214808392
815	0.1212976206
816	0.1211195029
817	0.1210410761
818	0.120904799
819	0.1208677132
820	0.1208119208
821	0.1207441559
822	0.1206149428
823	0.1205252722
824	0.1204119982
825	0.1203355384
826	0.1201906542
827	0.1200153293
