iter	Passed	Remaining
0	1	1934
1	3	1827
2	5	1798
3	7	1757
4	8	1729
5	10	1707
6	11	1691
7	13	1683
8	15	1675
9	16	1664
10	18	1655
11	20	1651
12	21	1647
13	23	1640
14	24	1633
15	26	1625
16	28	1620
17	29	1617
18	31	1616
19	33	1617
20	34	1617
21	36	1622
22	38	1621
23	39	1620
24	41	1614
25	43	1611
26	44	1609
27	46	1607
28	47	1603
29	49	1599
30	51	1602
31	52	1597
32	54	1591
33	55	1585
34	57	1582
35	58	1579
36	60	1575
37	62	1572
38	63	1567
39	65	1567
40	67	1569
41	68	1571
42	70	1567
43	72	1564
44	73	1561
45	75	1558
46	76	1554
47	78	1550
48	79	1547
49	81	1545
50	83	1545
51	84	1546
52	86	1545
53	88	1543
54	89	1541
55	91	1538
56	92	1536
57	94	1535
58	96	1535
59	98	1536
60	99	1536
61	101	1536
62	103	1535
63	104	1533
64	106	1533
65	108	1533
66	110	1531
67	111	1530
68	113	1530
69	115	1530
70	116	1530
71	118	1531
72	120	1531
73	122	1531
74	124	1531
75	125	1530
76	127	1532
77	129	1531
78	131	1529
79	132	1527
80	134	1525
81	136	1523
82	137	1522
83	139	1520
84	140	1517
85	142	1515
86	144	1515
87	146	1514
88	147	1512
89	149	1512
90	151	1510
91	152	1508
92	154	1506
93	156	1505
94	157	1503
95	159	1503
96	161	1502
97	162	1499
98	164	1497
99	166	1496
100	167	1494
101	169	1492
102	171	1489
103	172	1487
104	174	1486
105	176	1487
106	178	1485
107	179	1484
108	181	1483
109	182	1480
110	184	1478
111	186	1475
112	187	1473
113	189	1470
114	190	1468
115	192	1466
116	193	1463
117	195	1461
118	197	1459
119	198	1457
120	200	1455
121	201	1453
122	203	1450
123	204	1448
124	206	1448
125	208	1446
126	210	1445
127	211	1443
128	213	1442
129	215	1442
130	217	1441
131	219	1440
132	220	1439
133	222	1439
134	224	1437
135	226	1435
136	227	1433
137	229	1431
138	230	1429
139	232	1427
140	234	1425
141	235	1424
142	237	1424
143	239	1422
144	240	1420
145	242	1418
146	244	1416
147	245	1415
148	247	1413
149	249	1412
150	250	1410
151	252	1409
152	254	1408
153	256	1407
154	258	1406
155	259	1406
156	261	1405
157	263	1404
158	265	1404
159	267	1404
160	269	1404
161	271	1402
162	272	1401
163	274	1400
164	276	1399
165	278	1398
166	280	1397
167	282	1398
168	284	1398
169	286	1397
170	287	1395
171	289	1394
172	291	1392
173	292	1389
174	294	1388
175	296	1387
176	298	1385
177	299	1384
178	301	1382
179	303	1380
180	304	1378
181	306	1377
182	308	1375
183	309	1374
184	311	1372
185	313	1370
186	314	1369
187	316	1367
188	318	1367
189	320	1365
190	322	1364
191	323	1362
192	325	1361
193	327	1360
194	329	1359
195	330	1357
196	332	1356
197	334	1354
198	336	1353
199	338	1352
200	339	1351
201	341	1349
202	343	1347
203	344	1346
204	346	1345
205	348	1344
206	350	1343
207	352	1342
208	354	1341
209	356	1340
210	358	1338
211	360	1338
212	361	1336
213	363	1335
214	365	1334
215	367	1332
216	368	1331
217	370	1329
218	372	1328
219	374	1327
220	376	1326
221	378	1325
222	379	1323
223	381	1321
224	383	1320
225	385	1319
226	387	1318
227	388	1316
228	390	1315
229	392	1314
230	394	1312
231	396	1311
232	398	1310
233	399	1309
234	401	1307
235	403	1306
236	405	1305
237	407	1304
238	409	1303
239	410	1301
240	412	1300
241	414	1299
242	416	1297
243	418	1296
244	420	1295
245	422	1294
246	424	1292
247	425	1291
248	427	1290
249	429	1288
250	431	1287
251	433	1285
252	434	1283
253	436	1282
254	438	1281
255	440	1279
256	442	1278
257	443	1276
258	445	1275
259	447	1273
260	449	1271
261	453	1276
262	455	1275
263	456	1273
264	458	1271
265	460	1270
266	462	1268
267	463	1266
268	465	1264
269	467	1262
270	469	1261
271	470	1259
272	472	1257
273	473	1255
274	475	1253
275	477	1251
276	478	1249
277	480	1248
278	482	1246
279	484	1245
280	485	1243
281	487	1241
282	489	1239
283	491	1238
284	492	1236
285	494	1234
286	496	1232
287	497	1230
288	499	1228
289	500	1225
290	502	1223
291	504	1222
292	505	1220
293	507	1218
294	508	1216
295	510	1214
296	512	1212
297	513	1209
298	515	1208
299	516	1206
300	518	1204
301	520	1202
302	521	1200
303	523	1198
304	524	1196
305	526	1194
306	528	1192
307	530	1191
308	532	1189
309	533	1187
310	535	1185
311	536	1184
312	538	1182
313	540	1180
314	541	1178
315	543	1176
316	545	1175
317	547	1173
318	548	1171
319	550	1169
320	552	1168
321	553	1165
322	555	1163
323	556	1162
324	558	1159
325	560	1158
326	562	1156
327	563	1155
328	565	1153
329	567	1151
330	568	1149
331	570	1148
332	572	1146
333	573	1144
334	575	1142
335	577	1141
336	579	1139
337	580	1137
338	582	1136
339	584	1134
340	586	1132
341	587	1130
342	589	1128
343	590	1126
344	592	1125
345	594	1123
346	595	1121
347	597	1119
348	599	1117
349	601	1116
350	602	1114
351	604	1112
352	606	1111
353	607	1109
354	609	1107
355	611	1106
356	613	1104
357	614	1102
358	616	1101
359	618	1099
360	620	1097
361	621	1096
362	623	1094
363	625	1093
364	627	1091
365	629	1090
366	631	1088
367	633	1087
368	634	1085
369	636	1084
370	638	1082
371	640	1080
372	642	1079
373	643	1077
374	645	1076
375	647	1074
376	649	1072
377	651	1071
378	652	1069
379	654	1068
380	656	1067
381	658	1065
382	660	1064
383	662	1062
384	664	1061
385	666	1059
386	668	1058
387	669	1056
388	671	1055
389	673	1053
390	675	1051
391	677	1050
392	678	1048
393	680	1046
394	682	1045
395	684	1043
396	686	1042
397	688	1041
398	690	1039
399	691	1037
400	693	1036
401	695	1034
402	697	1032
403	698	1031
404	700	1029
405	702	1027
406	704	1026
407	706	1024
408	707	1022
409	709	1021
410	711	1019
411	712	1017
412	714	1015
413	716	1013
414	718	1012
415	719	1010
416	721	1008
417	722	1006
418	724	1004
419	725	1002
420	727	1000
421	729	998
422	730	996
423	732	995
424	734	993
425	735	991
426	737	989
427	738	987
428	740	985
429	741	983
430	743	981
431	745	980
432	747	978
433	748	976
434	750	974
435	752	973
436	753	971
437	755	969
438	757	967
439	758	965
440	760	964
441	762	962
442	764	960
443	765	958
444	767	957
445	769	955
446	771	953
447	772	951
448	774	950
449	775	948
450	777	946
451	778	944
452	780	942
453	782	940
454	783	938
455	785	936
456	786	934
457	788	932
458	789	931
459	791	929
460	793	927
461	794	925
462	796	923
463	797	921
464	799	919
465	801	918
466	803	916
467	804	914
468	806	912
469	808	911
470	809	909
471	811	907
472	813	906
473	814	904
474	816	902
475	818	900
476	820	899
477	821	896
478	822	894
479	824	893
480	826	891
481	827	889
482	829	888
483	831	886
484	833	884
485	834	882
486	836	881
487	837	879
488	839	877
489	841	875
490	843	873
491	844	872
492	846	870
493	847	868
494	849	866
495	851	864
496	852	863
497	854	861
498	856	859
499	858	858
500	859	856
501	861	854
502	862	852
503	864	850
504	866	848
505	867	847
506	869	845
507	871	843
508	872	841
509	874	840
510	876	838
511	877	836
512	879	834
513	880	832
514	882	831
515	884	829
516	885	827
517	887	825
518	889	823
519	890	822
520	892	820
521	893	818
522	895	816
523	897	815
524	898	813
525	900	811
526	902	809
527	903	807
528	905	806
529	906	804
530	908	802
531	910	800
532	911	798
533	913	797
534	914	795
535	916	793
536	918	791
537	919	789
538	921	788
539	923	786
540	924	784
541	926	782
542	927	780
543	929	779
544	931	777
545	932	775
546	934	774
547	936	772
548	938	770
549	940	769
550	941	767
551	943	765
552	944	763
553	946	762
554	948	760
555	950	758
556	952	757
557	953	755
558	955	753
559	957	752
560	959	750
561	960	748
562	962	747
563	964	745
564	966	744
565	968	742
566	969	740
567	971	739
568	973	737
569	975	735
570	977	734
571	979	732
572	980	730
573	982	729
574	984	727
575	986	725
576	987	724
577	989	722
578	991	720
579	993	719
580	995	717
581	997	716
582	998	714
583	1000	712
584	1002	710
585	1003	709
586	1005	707
587	1006	705
588	1008	703
589	1010	702
590	1012	700
591	1013	698
592	1015	696
593	1016	695
594	1018	693
595	1020	691
596	1021	689
597	1023	687
598	1025	686
599	1026	684
600	1028	682
601	1030	681
602	1032	679
603	1033	677
604	1035	676
605	1037	674
606	1038	672
607	1040	670
608	1041	668
609	1043	667
610	1045	665
611	1046	663
612	1048	661
613	1050	660
614	1051	658
615	1053	656
616	1055	654
617	1056	653
618	1058	651
619	1060	649
620	1061	648
621	1063	646
622	1065	644
623	1066	642
624	1067	640
625	1069	639
626	1071	637
627	1073	635
628	1075	634
629	1076	632
630	1078	630
631	1080	628
632	1081	627
633	1083	625
634	1084	623
635	1086	621
636	1088	620
637	1090	618
638	1091	616
639	1093	615
640	1095	613
641	1097	611
642	1099	610
643	1101	608
644	1103	607
645	1105	605
646	1106	603
647	1108	602
648	1110	600
649	1112	598
650	1114	597
651	1116	595
652	1117	594
653	1119	592
654	1121	590
655	1123	589
656	1125	587
657	1127	585
658	1129	584
659	1131	582
660	1133	581
661	1135	579
662	1137	578
